Its content has classic and tragic dimensions beyond politics.	This film has received a lot of praise from critics, but not that many people will find this that entertaining.	Both a how-to manual for guerrilla terrorism and a cautionary tale about how to fight it. It's also quite possibly the finest war film ever made.	The price of invasion has never been more poignantly spelled out than in this classic film.	'The Battle of Algiers' serves potent warning to those who envision warfare, or any Western-dictated settlement, in areas so hungry and so foreign.	A powerful, documentary-like examination of the response to an occupying force, The Battle of Algiers hasn't aged a bit since its release in 1966.
... a sequel that, for once, doesn't coddle its target audience ... Lawrence's quick-draw archer is, if anything, more intense and single-minded, all glowering charisma.	Catching Fire delivers on the grim, roiling promises of the original.	Now the violence is not merely physical, but existential. Far from having won her freedom as promised, Katniss is now imprisoned in a false public narrative-supporter of the Capitol, lover of Peeta-from which she may never escape.	With its troubling subject matter, Catching Fire makes for a tough balancing act, but Francis Lawrence pulls it off. It's a frequently exciting film, with Hunger Games contestants old and new facing a succession of frightening challenges.	This movie makes you believe in revolution.	Smart, smoothly directed, and enriched with a deeper exploration of the franchise's thought-provoking themes, Catching Fire proves a thoroughly compelling second installment in the Hunger Games series.
Michael Patrick King throws Carrie Bradshaw & Co. under the intellectual bus, making them do monumentally stupid things to satisfy the plot's demands.	Glamour porn with fashion that looks like Lady Gaga at a Wal-Mart shopping spree and a plot that at times is cinematic roadkill. Nonetheless, these are still likable and entertaining characters. The movie did its job and because of that, I enjoyed it.	I lost count of the number of times the filmmakers dropped the word "sparkle" into the script; no doubt they thought they were going for gold, but they've created a load of Ratners.	Amounts to little more than a two-and-a-half-hour plotless fashion show.	The last gasp of a franchise that has definitively lost touch with its roots.	Straining under a thin plot stretched to its limit by a bloated running time, Sex and the City 2 adds an unfortunate coda to the long-running HBO series.
Soderbergh finds the perfect equilibrium between mainstream entertainment and arty panache, lacing this heist movie/romantic comedy with character-motivated time shifting, prominent freeze-frames, a funky soundtrack and an all-around hip vibe.	Faintly melancholy and alluringly fatalistic, this mercurial romance passing as a crime thriller is slyly entertaining and darkly sexy.	George Clooney's transition from telly to movie star was confirmed by this sparky adaptation of an Elmore Leonard novel.	A darkly amusing and sly romantic comedy about an accident-prone bank robber (George Clooney) who falls in love with the sexy federal marshal (Jennifer Lopez) on his tail.	This zany screen adaptation of Elmore Leonard's novel perfectly catches its funky portrait of idiosyncratic characters dealing with the craziness of human desire.	Steven Soderbergh's intelligently crafted adaptation of the Elmore Leonard novel is witty, sexy, suprisingly entertaining, and a star-making turn for George Clooney.
White God is an ambitious and thrilling, if a little uneven, canine-centric drama.	White God isn't for everyone. But it is an unflinching, extraordinary piece of film-making.	A rousing creature-feature thriller and political allegory, from Hungarian director Kornel Mundrucz.	Call the shelter; this one's a keeper.	Engrossing, and open to any number of metaphorical readings -- but not for people who can't handle simulated animal abuse in movies.	White God isn't an easy watch, but its soaring ambition and powerful acting -- human and canine alike -- make it well worth the effort.
A lively caper film with snappy dialogue and interesting characters.	Essentially a genre piece overdecorated with phrases, quirks and narrative slipknots with a mannered look-at-me cleverness.	The story is like a bad mountain road: full of twists, turns, and huge potholes, with Mamet driving through it about ten miles an hour, his direction too slack and lackadaisical to build much tension or suspense.	It's one of Mamet's best. It's also one of Hackman's best, most mercurial performances.	David Mamet's films regurgitate every clever quip he's collected on bar napkins throughout the years.	Heist didn't cover any new ground, but the cast and Mamet's expertise with witty banter make it worthwhile.
If some of the connections stretch credulity, an exquisite ensemble cast ... inhabit their characters with a subtle authenticity.	One of the best.	A perceptive, powerfully acted psychodrama.	Well-realized characterizations are undermined by the strained and artificial developments of the plot.	Lantana is Ray Lawrence's Aussie rendition of Short Cuts, a multi-character relationship saga disguised as a bubbling thriller.	Lantana is an intricately plotted character study that quietly shines with authenticity.
Compassionate, suspenseful drama, posing an intriguing ethical dilemma...	Less is more. That's what the Dardenne brothers are all about.	By the end of "Two Days, One Night" we've not only met an unusual heroine and her dynamic husband, but feel like we've gotten to know a small French town whose denizens offer various shadings of a simple moral issue with complex ramifications.	Ms. Cotillard's performance is as fine a piece of screen acting as you will ever see.	Yes, "Two Days, One Night" is a story about courage, and resilience and victory. But it also suggests that sometimes the best victory one can wish for is the ability to keep fighting, one day longer.	Another profoundly affecting work from the Dardenne brothers, Two Days, One Night delivers its timely message with honesty and clear-eyed compassion.
Vertigo stands as one of the thrill master's most psychologically dense and twisted works in which obsession, commitment, and dual identities all merge to create a voluptuous tale of thwarted love.	Bernard Herrmann's eloquent score is among his finest, Stewart is excellent, as always, and Kim Novak is surprisingly effective in her role, another of Hitchcock's icy blondes.	It tests our patience, but then rewards it, not only with beauty and terror, but also with an emotional sucker punch that has yet to be equaled.	The most-discussed work of the master; despairingly sardonic and demanding of multiple viewings.	From a craft standpoint, Vertigo represents the director in peak form.	An unpredictable scary thriller that doubles as a mournful meditation on love, loss, and human comfort.
What makes The Dog so compelling isn't Wojtowicz's cinematic imprint but the place in history that was very likely denied him by chance and his own irascibility.	The true story behind Dog Day Afternoon is fascinating fodder for a documentary, but The Dog squanders this by letting its sociopath subject run the show.	Directors Allison Berg and Frank Keraudren fill "The Dog" with terrific archival footage that captures the feel, look and sound of a bygone, character-filled era.	Dubious fame, but without shame	Try as you may, however, you can't turn away from this obscure footnote in pop culture history, even at his most aggravating. It's that twisted thing we call celebrity.	Fascinating, evocative, and as unconventional as its subject, The Dog offers a colorful window into the real-life story behind a classic film.
Amusing documentary duel at the video arcade.	A terrifically entertaining documentary about an unlikely subject.	Improbably compelling... it's every bit the rousing crowd-pleaser I wanted Rocky Balboa to be.	Benefits immeasurably from a cast of colorful supporting players, as well as a taut narrative that builds to a surprisingly tense climax.	A classic video-arcade game becomes the means of an epic struggle in this funny, surprisingly poignant video documentary.	The King of Kong is funny and compelling with more than a few poignant insights into human behavior. Director Seth Gordon presents the dueling King Kong players in all their obsessive complexity and with perfectly al dente observations.
A feature so eager for statues it practically provides a pen and a reading light to help with any potential award ballot situation that might arise after watching it.	Berry has proven she's willing to take on enormous challenges, and she certainly exceeds her grasp here. Perhaps that's why Frankie & Alice plays more like an elaborate acting workshop than a movie.	Halle Berry impresses in both the title roles of Frankie & Alice, a well crafted if slightly soapy seventies period piece about a young woman's struggle with multiple personality disorder.	Dusted off a full five years after it finished filming, [Frankie & Alice] is now a strange, wounded beast that cries out for Academy validation with every histrionic frame, yet has already missed its window of opportunity.	This movie, with its flashbacks to past sins and traumas, rests squarely on Berry, a mesmerizer who makes every moment count.	Halle Berry gives it her all (and then some), but Frankie & Alice is ultimately too narratively strained and clumsily assembled to do her performance justice.
It is full of the delightful merriment of childhood, albeit dinosaur childhood not Homo sapiens. For a sweet and simple little picture the whole family can gather round the tube and watch with delight, this one delivers the goods.	The Land Before Time is as handsome and honest an animated feature as any produced since Walt Disney`s death; it may even be the best.	A very good animated film, but nothe where near intriguing enough to inspire copious sequels.	Sharp animation and powerful visualisation of scale will enthrall a young audience but the clumsy cub-scout moralising feels, well, extinct.	There is nothing about either the story or its execution to place "The Land Before Time" alongside the classics, but then again, the age of animated masterpieces may be forever past.	Beautifully animated and genuinely endearing, The Land Before Time is sure to please dino-obsessed tykes, even if it's a little too cutesy for older viewers.
Chuck & Buck might be the most perversely agreeable stalker picture ever made.	White and Arteta's remarkable achievement lies in making Buck and Chuck equally comprehensible.	Chuck & Buck is ... sad, funny, true and resonant.	The climactic confrontation between the two men near the film's end ... simply doesn't ring true.	One of the few truly grown-up movies you're likely to see this year.	Poignant, unsettling.
Disney's latest animated film is, if not exactly a return to form, a return to the spirit of The Lion King.	These beasts are beautiful, but "Brother Bear" is no "Beauty and the Beast."	Quite easily the best traditionally animated Walt Disney film since 1994's, The Lion King.	Thanks to the reincarnation of SCTV stalwarts The McKenzie Brothers as a pair of moose, Disney's latest animated feature is more like Brother Beer.	Oh, brother, what a bore...	Brother Bear is gentle and pleasant if unremarkable Disney fare, with so-so animation and generic plotting.
Apted possesses the unsettling ability to shape perceptions of their lives and personalities from inside an editing suite, a fact that the members of his flock begin to recognize at varying points throughout their adult years.	A completely unique and remarkable documentary project.	Self-contained enough for theatrical auds new to the series, it will play best with those who've come to care for these Brits over time.	We are all older now, and this series proves it in a most deeply moving way.	An intimate portrait of settling down and finally making peace with one's well-publicized past.	Director Michael Apted continues to utilize cinema as a window into the lives of everyday people, and in the reflection of this documentary we can glimpse our own aging humanity.
Apparently all fat people are inherently evil.	Usually, it takes six or so months for an actor to parlay a Best Supporting Actor nomination into a cringe-worthy career-derailing performance in an unbelievably awful picture.	[Rasputia is] violent, vulgar, selfish, and lacking the subtlety of even a fairy tale orge or evil stepmother. The character undercuts the entire film.	Here's a new Oscar category: The Worst Movie Ever Released by Someone Currently Under Consideration for an Academy Award. The winner? Norbit.	Three Eddie Murphys is three too many.	Coming off his Oscar-nominated performance in Dreamgirls, the talented-but-inconsistent Eddie Murphy plays three roles in Norbit, a cruel, crass, stereotype-filled comedy that's more depressing than funny.
Fitful and flighty, it's a frenetic diversion destined for a popular niche on the dvd shelf.	This sequel's greatest claim to fame lies in turning its innocuously painless original into an overblown bore.	This is what you call a wholesome kiddie movie on drugs.	Smithsonian whips itself into a kind of frenzied exhilaration that's both fun and funny.	Atrociously dumb.	Night at the Museum: Battle at the Smithsonian is busy enough to keep the kids interested but the slapstick goes overboard and the special effects (however well executed) throw the production into mania.
Looking for comfort food in a movie season stuffed with supposed gourmet fare? Sometimes a good old-fashioned sub will do nicely.	The limits of incredulity are stretched thin, and in the end, though Black Sea is at times an admirable, even memorable film, it could have used a lot more of the sad realism with which it opened.	The journey begins with high hopes and a sense of adventure but very soon it is the disintegration of the relationships on-board that prompts the fiery unraveling; forcing life and death decisions, rather than those concerning wealth and poverty	[You] could do far worse than this competently steered, claustrophobic adventure. But better fare exists in the subgenre catalog, and implausibility problems make this movie only partially compelling.	After the criminally underappreciated How I Live Now, Kevin Macdonald kicks back with a terrific submarine thriller marinated in Eau de MacLean.	Black Sea may not be particularly deep, but thanks to Kevin Macdonald's judicious direction and a magnetic performance from Jude Law, it remains an efficiently well-crafted thriller.
At least he makes his priorities clear; it's not called "Make a Good Movie or Die Tryin'."	Get Rich or Die Tryin' can't be accused of not trying, but neither is anybody apt to leave it feeling all that enriched.	Rambling, boring and full of bad messages for our youth.	Total propaganda... It's the male equivalent of the hooker with the heart of gold.	Sheridan comes up with more than his share of superbly directed scenes, but the whole thing is a mixed bag.	While it may be based upon 50 Cent's own life experiences, Get Rich Or Die Tryin' is too similar to many other rags-to-riches stories to resonate.
A pleasant little diversion.	Though it's never dull, this Mansfield Park has too much of its own agenda and too little of Austen's to completely succeed.	Ms. Rozema has made a film whose satiric bite is sharper than that of the usual high-toned romantic costume drama.	The beauty of this lavish and gorgeous production isn't in the costumes or the buildings, it is in the acting and the script.	Romantic, thoughtful and beautifully filmed.	Solid performances, bold direction.
Dirty Wars leaves some deeper questions unexplored, mainly the philosophical struggle between security and secrecy, but makes up grandly with raw data and one correspondent's passion.	My biggest problem with this movie is the choice to make Scahill the star of the show instead of the basic, disturbing facts.	A tense, shocking US documentary that plays out like an episode of The Wire, though in this case it's not a war on drugs that's being fought (and lost), but the war on terror.	Dirty Wars is essential viewing for all Americans, conservatives and liberals alike. It's intense and depressing. It'll make you angry.	[A] gripping investigative doc, which plays out like a classic conspiracy thriller as it follows a trail of clues to the heart of darkness.	Some viewers may find fault with director Rick Rowley's filmmaking methods, but they aren't distracting enough to keep Dirty Wars from serving as a terribly compelling argument against elements of American foreign policy.
As we learn how to look at the Kunsthistorisches' masterpieces, we're also learning how to watch this movie. ... And better: we're learning how to look at our lives.	It's a hybrid drama/art-history essay about how looking at art recasts our experience of looking at the world.	A powerfully contemplative look at the transformative ability of all art.	Whether you find the result tedious or enlightening will be a factor of your openness to the director's languidly atmospheric approach.	Cohen's vivid eye for forlorn urban spaces makes this as geographically evocative as his other work, but it's a film of clearly etched themes, too, about the solace of growing old as well as the slight sadness of unlived lives.	Its languid pace may frustrate some viewers, but for patient filmgoers, Museum Hours offers a carefully observed portrait of the human condition.
Godard's avoidance of conventional science fiction architecture, in favour of what was actually available within Paris 1965, is his way of commenting on the city, what it was doing to its inhabitants, and what they were in danger of becoming.	Nothing about this strange, moving work of agit-pop has ever seemed out of date. If anything, "Alphaville" moves closer to relevance with every passing year.	Although this is drastically different compared to the rest of Godard's oeuvre, it has without a doubt had a lasting impact with its ground-breaking visuals.	The self-conscious didacticism of 'Alphaville' sinks its ship.	One of [Godard's] most entertaining movies is also one of his most timeless.	While Alphaville is by no means a conventional sci-fi film, Jean-Luc Godard creates a witty, noir-ish future all his own.
[Bullock] knows one of the secrets of doing romantic comedy: treating the romance as a good joke.	It's a long and frustrating wait, but While You Were Sleeping delivers all you can ask of a romantic comedy: the deluxe payoff.	Surprisingly half-decent high-concept chick-flick material.	As cute and cuddly a bedtime story as anyone could wish for.	Romantic, sweet without being cloying, and light on its feet.	While You Were Sleeping is built wholly from familiar ingredients, but assembled with such skill -- and with such a charming performance from Sandra Bullock -- that it gives formula a good name.
Pleasant but slight.	More compelling when focusing on long-serving staff and their skills and opinions.	For all the seductive imagery of billowing apparel and impossibly angled high heels, Tcheng never loses sight of the people overseeing every stitch.	Access to an institution like the house of Dior is a rare and precious thing, and Mr. Tcheng has paid for it with a flattering portrait dressed up to look like cleareyed scrutiny.	Simons is a fascinating central figure, even if the straightforward approach seems determined not to ruffle any feathers.	Dior and I will obviously appeal to fashion fans, but this beautifully tailored documentary may draw in even the least sartorially inclined.
Director Frank Pavich's entertaining documentary makes the case for this overblown epic as a legendary lost masterpiece.	Will make you wish Hollywood would have given Jodorowsky everything he needed (or that we could at least Kickstart the difference).	A taste of what might have been--and even if you doubt that the completed film would have been as remarkable as Jodorowsky and his admirers are inclined to claim, it's a tantalizing taste.	Jodorowsky's enthusiasm is infectious, and the movie makes a strong case that his ideas, though never realized, ended up permeating later sci-fi movies.	Catnip for those who like to pore over forgotten pop-culture footnotes, this documentary gets plenty of mileage out of its grand question of what-if.	Part thoughtful tribute, part bittersweet reminder of a missed opportunity, Jodorowsky's Dune offers a fascinating look at a lost sci-fi legend.
"Short Term 12" is the kind of teen-oriented movie that's often dismissed as an "after-school special," but thanks to a nimble young cast it's frequently better than that.	The unembellished emotional honesty conveyed in the indie drama Short Term 12 is so expertly handled that it carries the viewer past any hesitations harbored regarding the film's overly familiar storyline.	At times Short Term 12 seems uncertain where it's going, but this matches the circumstances of both staff and residents.	It's one of the best movies of the year and one of the truest portrayals I've ever seen about troubled teens and the people who dedicate their lives to trying to help them.	This is a small film about a society of castoffs, and while it's beautifully acted and often moving, it's also predictable, because it keeps wresting itself into familiar forms.	Short Term 12 is an emphatic, revealing drama that pulls audiences into the perspective of neglected youths.
The lines have begun to show in Belle's tale, which remains enjoyable but feels more like a quaint artifact than the masterpiece it once was declared to be.	Beauty and the Beast is one of the year`s most entertaining films for both adults and children.	Not quite the masterpiece we once thought.	The ultimate makeover story has strong, positive messages.	And it is a joy to revisit the timeless pleasures of traditional Disney storytelling, with no attempts to add sizzle from celebrity voice talent or radio-friendly pop songs.	Enchanting, sweepingly romantic, and featuring plenty of wonderful musical numbers, Beauty and the Beast is one of Disney's most elegant animated offerings.
Not only does Pokemon -- the First Movie threaten to strike again with the sequel-readiness of its title, but the overlong 89-minute opus aims to thrill tykes by being slightly less than adorable -- meaning you shouldn't trust these creatures any f	This is little more than a promotional effort to draw kids to the theater to get a free card and then encourage them to buy more of the newly introduced characters.	The kids in the audience at my showing were certainly enthralled, and I only fell asleep twice.	Amazingly, it's all more watchable than expected. OK, Disney's Beauty and the Beast it's not.	I'm about forty years too old to take this movie seriously. Or even understand it.	Audiences other than children will find very little to entertain them.
The film's one major fault is that Reilly's character repeatedly acts in ways that serve the plot, but which run contrary to rational human behaviour. By contrast, the shattering downbeat ending is well earned and genuinely shocking.	So harsh, bleak and intense it achieves a level of raw power. A sordid little nightmare of contemporary England.	A well acted, smartly directed horror flick that's gory, disturbing, terrifying and topical.	It doesn't fight shy of a truly frightening final twist, which makes it not only bleaker but also more truthful than virtually every other movie in this genre, which all too often is over-populated and under-humanised.	Works exceedingly well, and will probably stick in your gut for a little while.	A brutal and effective British hoodie-horror that, despite the clichés, stays on the right side of scary.
A genuinely touching crowd-pleaser and a real treat.	The Band's Visit, the first feature by the Israeli writer and director Eran Kolirin, flirts recklessly with obviousness, cuteness too.	Like no fish-out-of-water film in recent memory, it leaves you with the hope that these fish will find their way back to water, and maybe learn to share that puddle before the desert dries it up entirely.	With its attention to detail and careful, naturalistic performances, it's a small slice of life.	The laughter, I think, comes from a recognition of the shape of our own regrets.	The Band's Visit is both a clever, subtle slice-of-life comedy, and poignant cross-cultural exploration.
Hiyao Miyazaki, bless him, continues to be an analog guy in animation's increasingly digital world	Miyazaki's back, and still a force of nature. A weird, wonderful aquatic romp, Ponyo is also a meditation on the state of this blue planet. Catch it.	Admirable and enjoyable and beautiful, but it's a movie for the littlest of the little ones.	Compared to the animated garbage that typically passes through stateside theaters, it's practically a godsend.	comes from a great line of Miyazaki heroines	While not Miyazaki's best film, Ponyo is a visually stunning fairy tale that's a sweetly poetic treat for children of all ages.
They should hand out complimentary razor blades at the end of Revolutionary Road. But if anyone can find the refresh button on the exhausted suburban malaise genre, it's Kate Winslet. And she does.	The film is jolted into hopes and dreams and more importantly, escaping a blah life. But you can just sense there is something else. After all, this film isn't called 'Frank and April Move to Paris.'	Another tale about how suburban domesticity is miserable simply because it's marriage and it's the suburbs.	An extraordinary motion picture that harnesses spellbinding emotional discharge and enthralling disgust, using two of the most talented and captivating stars of today to bring to the screen a masterwork of domestic isolation.	Winslet gives a fearless performance here. It's not her fault her husband has shrouded it in Taste.	Brilliantly acted and emotionally powerful, Revolutionary Road is a handsome adaptation of Richard Yates' celebrated novel.
[VIDEO] Mel Gibson's cinematic mia culpa might not equate to a public apology to the countless people he's insulted over recent years.	Moviegoers probably won't be interested in seeing Mel Gibson in an onscreen train wreck that reminds them so much of the mess he's made of his real life.	There are many scenes in which absurdist fiction intersects with fact that it's depressing and disturbing, yet Gibson's anguished performance is not only believablebut insightful and compelling.	As the movie grows darker, and Walter becomes more dissociated from reality, Gibson convincingly depicts a man who'll have to crack all the way before he can heal.	Jodie Foster shows as a director that you really can make a movie about anything if you do it right. I mean, a guy with a beaver puppet? Come on!	Jodie Foster's visual instincts and Mel Gibson's all-in performance sell this earnest, straightforward movie.
A cute, buoyant sports fantasy, jolted along by a reggae soundtrack and playfully acted by an appealing cast.	If you like underdog movies, you might like this one. Especially if you haven't seen very many.	A wholesome, engaging, frequently hilarious, ultimately inspirational film.	Travelogue shots of happy Jamaicans dancing in the sun give way to patronising comedy.	A energia do elenco e a inspiradora premissa (baseada em fatos reais) convencem o espectador a ignorar os vários clichęs e a torcer desesperadamente pelos bravos jamaicanos.	Cool Runnings rises above its formulaic sports-movie themes with charming performances, light humor, and uplifting tone.
Rachel Mwanza's performance is extraordinary and shows great depth for such a young actress.	While War Witch is a gorgeously made film with strong, natural performances from its leads.	Nguyen's matter-of-fact storytelling proves to be the right match for a life of extraordinary suffering.	War Witch is a remarkably mature portrait that trusts its audience to have their own reactions to its material; it doesn't yank at the heartstrings so much as expertly tune them.	This is a straight ahead essay on warfare at its worst and the survival of the human spirit at its best.	War Witch is a mature, intense drama that embraces the bruatlity of its subject and invites the audience to sympathize with its protagonist's nightmarish circumstances.
All the actors get their Big Moments, but verisimilitude goes out the window.	Not every story comes together into a satisfying climax, and it feels like some time has been wasted with some people that could have been better spent with others.	The archival Kennedy clips aside, the excited radiance of these young characters' faces (and many of them are just extras) may be the best thing about Bobby.	It makes you wish you were watching a biopic of Robert Kennedy instead.	With one film, Estevez has transformed himself from a middle-aged joke into a youthful auteur who has made something beautiful, something he can be proud of, one of the best films of 2006.	Despite best intentions from director Emilio Estevez and his ensemble cast, they succumb to a script filled with pointless subplots and awkward moments working too hard to parallel contemporary times.
A moving love story that is as simple in its narrative gestures as it is rich in color composition.	Zhang's delicate, eager, ingenuous, resilient performance makes the audience feel so close to her it's like we're the butterflies in her stomach.	For the way it gave me room to ponder, for the gift of its colors, and for the delicate performance by Zhang Ziyi... it's one of my favorite films of 2001.	A romantic family film, a true G movie, pure of heart and harmless.	Even the director's most ardent admirers won't be ready for the soapy goo he delivers here.	Beautifully filmed, The Road Home is a simple touching and tender love story.
[A] dull and messy ride through supernatural Clint Eastwood territory.	Jonah Hex is a no doubt a bad film. That said, it has enough good elements to make you realize that it could have been awesome.	The lean story-telling works well for its taciturn characters and spare settings, presented by cinematographer Amundsen, and well scored with assistance from Mastodon.	Had it been available to him, Max Bialystock would have opted for this as his guaranteed flop rather than Springtime for Hitler.	You could do worse than this and if you have been going to the movies this summer with any regularity, you most likely already have.	Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.
Its apparent complexity is all visual patchwork.	Leth shows us the horrendous nature of the period but fails to provide much necessary political analysis, without which it is even more deeply depressing than it might have been.	Asger Leth's Ghosts of Cité Soleil offers a tour of a notorious, hellish slum in Port-au-Prince, the capital of Haiti.	The tone of the movie is excessively in thrall to its admittedly charismatic subjects.	Danish filmmaker Asger Leth's gritty documentary is an all-too-real -- and rarely seen -- glimpse into the dark side of Aristide's Haiti.	Asger Leth risked his life to bring audiences this rare and gritty glimpse at Haitian gangs, poverty and politics.
Wait... an all-star voice cast for a computer-animated story we've never heard of before, and it's watchable, too?	The unlikely superhero of this film is the hamster, who brings the funny amid a flurry of weaker gags. But Bolt still has charm - it just won't hit with the adults the way the best animated films can.	While Bolt isn't as funny, memorable or inspired as the animation classic from which it pilfers, it's still beautifully animated, cleanly told, professionally voiced and makes you smile without insulting your intelligence.	There's something both simple and sweet about Bolt, yet epic, that's entirely surprising.	For the first time in years, it feels like Disney has done its namesake proud.	Bolt is a pleasant animated comedy that overcomes the story's familiarity with strong visuals and likable characters.
Scarface has become a touchstone of pop culture, one of the half dozen or so most frequently referenced films of our era.	To be honest, Scarface isn't exactly what you could call a 'good' movie. It's overwritten, overacted and overdirected (not to mention overlong). And yet, against the odds, it still works.	Al Pacino is amazing. a knockout action blockbuster!	Any list of classic guy movies would be incomplete without an appearance from Brian De Palma's Scarface.	As stylized social realism gives way to wigged-out Faustian fantasy, the would-be devastating effects have an oddly slapstick effect.	Director Brian De Palma and star Al Pacino take it to the limit in this stylized, ultra-violent and eminently quotable gangster epic that walks a thin white line between moral drama and celebratory excess.
Why does Hollywood have such a knack for getting romantic comedies so wrong? Who knows, but they owe it to performers like Garner to find a way to do better.	Quirky supporting characters enliven this by-the-numbers romcom.	All in all, it's a pleasantly familiar way to spend two hours.	As far as the mightily abused McConaughey romantic comedies go, Ghosts of Girlfriends Past is actually one of his better outings.	The ending does a big flip flop, but if you go in with low expectations, you'll have a hard not laughing in Ghosts of Girlfriends Past.	A retread of A Christmas Carol, featuring Matthew McConaughey in a retread of his Dazed and Confused role, Ghosts of Girlfriends Past lacks originality, humor, and any semblance of charm.
Cage . . . all but sleepwalks through the film with an expression and body language that could be the result of his jockeys being just a scooch binding	This would be fun if director Jon Turteltaub didn't move things along at a snail's pace.	While it may be blasphemous to recommend 'National Treasure', it's probably not far off the mark to say [it will] keep fanatical fans of high-tech hesit movies content.	So bad on so many levels.	It's pretty preposterous and a little too long but kind of fun.	National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.
There is enough freshness in the documentary-style observation to make up for any lack of imagination in the storyline.	The movie is alternately brutal and affecting, filled with big dreams and crushing realities.	[F]or all its raw simplicity, the film manages to conjure a veritable library of references.	Sin Nombre is a brutal, dark film that is one of the most moving and memorable that I've seen in a long time	"Sin Nombre" is a convincing verite-styled drama that pulls you into its dangerous universe of desperation and immediacy.	Part harrowing immigration tale, part gangster story, this debut by writer/director Cary Fukunaga is sensitive, insightful and deeply authentic.
It should appeal to adventurous types looking for a more challenging animated feature.	An ephemerally entertaining comic adventure.	A stylish throwback, a pretty work of art in every frame.	Whimsy is alive and well in the movies, thanks to Sylvain Chomet.	Shares the inventive, experimental storytelling found in the works of Miyazaki and the Wachowskis. What a joy to watch a cartoon with your brain turned on.	Richly detailed and loaded with surreal touches, The Triplets of Belleville is an odd, delightful charmer.
...Mann's decision to shoot Collateral using digital cameras is baffling, particularly when you consider how effectively he's used film in the past.	The surprise inside the story is that if we see the film through the eyes of the assassin Vincent it turns from a thriller into a shaggy dog story.	Michael Mann has whipped up a slick neo-noir, rife with mordant humor and hard-boiled action set in a town without pity	but for all intents and purposes this is a two character play on a bare stage...and a damn fine one at that.	Mann works intelligent, polished magic on a B-movie noir script that would (have been) a catch-phrase-fraught action-explosion flick in the hands of most big-budget directors.	Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.
Mind-bending thrillers like Primer are terrific viewing with your teenagers. Maybe if you're nice, they'll explain the ending to you.	Rarely has bafflement been so absorbing and fun.	A smart, clever time-travel game played on audiences and with them	Essentially, it's the story of weekend scientists who build a time machine in a suburban garage. But this nearly gets lost in a miasma of technical jargon and scientific conjecture.	Confident and well-woven.	Dense, obtuse, but stimulating, Primer is a film for viewers ready for a cerebral challenge.
Serious cinema of the globalist sort.	The poetic visuals create a disorienting sense of being at once immersed in the characters' world and kept at a distance.	Beautiful, poetic, and hard-hitting without the use of excessive force and deeply layered with evolving and regional nuances of feminine experience.	A stunningly imagined account of African immigrant life in present-day Brooklyn.	The imagery in Mr. Dosunmu's film is consistently surprising and lush. Even the straight-ahead portraits of his characters, used as emotional caesuras, are rich in colors and textures. But he's a storyteller, too ...	Director Andrew Dosunmu's style takes some getting used to, but Mother of George compensates with powerful acting, a thoughtful script, and gorgeous visuals.
That devilish idea machine Lars von Trier reached into his bag of tricks and came up with the Advance Party project.	Though not flawless, this is a compelling study, in Dogme style, of a wounded young woman who spends her working life spying on others.	A strange sort of map of the city [is] spread across these fragmented cubes of visual information. And there's also the metaphorical map of the characters' lives, where they're coming from and where they're going.	Thankfully, Arnold's talent is more convincing than her storyline.	A tense and provocative thriller revolving around a past tragedy.	Red Road director Andrea Arnold skillfully parses out just enough plot details at a time to keep the audience engrossed in this seductive thriller.
Dead Man Walking was worth the river of tears I waded through on my way out.	A thought-provoking drama not to be missed or dismissed.	Dead Man Walking could easily be manipulative or exploitative, but it's neither. Instead, this is hard-hitting drama that neither accepts nor offers quarter.	A powerful and provocative film -- not quite a work of art, maybe, but close enough to demand your respectful attention.	It probably isn't for everyone, but Dead Man Walking is a tale that needs to be heard and that will likely provide material for hours of philosophical debate.	A powerful, thought-provoking film that covers different angles of its topic without resorting to preaching, Dead Man Walking will cause the viewer to reflect regardless of their political viewpoint.
This cyberpunk policier doesn't make much sense on a narrative level, but the visuals are gorgeously designed and sometimes genuinely breathtaking.	A complex, rich animated vision.	Ultimately Ghost in the Shell remains a hard sell, with sluggish pacing and sloppy storytelling effectively smothering the strengths of this lackluster effort.	I confess I find it too opaque to make the kind of investment that would qualify me as a real fan. But it should be seen.	O visual e a qualidade da animaзгo sгo incrнveis, e a histуria й bastante criativa.	A stunning feat of modern animation, Ghost in the Shell offers a thoughtful, complex treat for anime fans, as well as a perfect introduction for viewers new to the genre.
